,3a62531.cel,3a636a1.cel,3a6a4b1.cel,3a6b021.cel
1007_s_at,527.18185327421,702.243194180521,658.605637722407,224.249331786711
1053_at,271.831345577038,35.2939442788313,38.0539014107341,20.9577952050306
117_at,85.0379328518502,94.1311606494252,113.293375916455,68.9179012516959
121_at,506.261523373305,608.157356433774,690.342549468877,439.447969434958
1255_g_at,23.2434101677124,22.8494347270918,32.3735557858377,22.9071893034305
1294_at,320.257584371334,290.863417862292,140.581811326577,100.449773560579
1316_at,62.2654708161914,48.0336406364527,76.4379956407887,38.7647421423813
1320_at,27.3214311039859,25.2514873044932,22.6871548408677,30.9432512302392
1405_i_at,183.174077824965,24.7212248464711,19.0539379632616,26.2812158053979
1431_at,18.5161667227673,26.9430295727256,28.4622999633228,29.164707333417
1438_at,127.312824576637,228.336126158859,173.238771489423,127.425503967597
1487_at,275.717734769629,310.037705256243,209.268377914589,204.390566405514
1494_f_at,71.4846729662303,165.31419343603,246.267883986443,127.993330836335
1598_g_at,350.892666380505,1066.82419684559,701.750438103629,478.813188019763
160020_at,173.917255707578,460.655769803307,375.417626552429,305.317869096831
1729_at,404.60457852664,232.135498492809,193.347245183755,131.727370029646
177_at,165.970370331263,38.9206977007942,39.8853262310058,35.5212934399335
1773_at,95.9166687075996,60.9708349493791,50.5060524067725,40.1169324370913
179_at,980.749448319787,928.835659598682,882.438000659137,591.117636680837
1861_at,52.4390740631115,120.551971837145,40.4396664036124,33.7811778545485
200000_s_at,1207.62175757246,410.617124015578,281.894457105138,221.932611356802
200001_at,1574.03353607111,1423.29022626605,584.813824180504,239.699973417613
200002_at,4366.13288595959,2998.40472368686,666.014692273578,300.419202738575
200003_s_at,5546.18832280631,5152.25885516803,1201.76876819234,408.38921438006
200004_at,1441.41475868449,479.764665457738,977.387705818999,343.944549042543
200005_at,2315.35910125338,245.541213677369,184.445188419119,75.8467675777569
200006_at,2422.78354134121,764.929440573025,508.463201208932,331.008995601798
200007_at,1769.81212201602,1542.56406506273,1062.64986616406,294.948786607181
200008_s_at,1006.09609654096,159.542082523904,326.486342260484,155.401988951887
200009_at,2778.53552266516,257.25483022386,504.715787733588,118.611712964712
200010_at,4955.46169843948,1336.25087813026,1154.30370369602,421.98621361544
200011_s_at,890.952866308525,313.164147059111,593.587732919676,325.816149324949
200012_x_at,7454.27261942044,1797.68150959876,2111.7686580868,1182.99480149564
200013_at,6471.15391025624,1631.61741613689,1071.62784908795,508.92422706501
200014_s_at,1745.89108588049,180.343389420515,146.927693980641,40.2291228766251
200015_s_at,1149.9064262307,287.4378707098,309.786533000778,187.853159185411
200016_x_at,6485.22399944548,942.370056894191,2521.86934448765,407.83247777051
200017_at,4340.42233424915,1493.17120052323,1625.38614956056,825.381829754001
200018_at,7723.3889099373,3363.5731759498,2243.60223442044,843.490845911001
200019_s_at,5105.34638498826,4313.5285474892,1348.9344065871,359.302839100566
200020_at,1069.49958516922,174.857599325018,250.248832239334,52.4621118419382
200021_at,7665.38812233327,5014.057156734,5390.98854272936,2276.77759503588
200022_at,5819.16813540578,3811.19267395734,1058.91906210134,444.406665150133
200023_s_at,2456.37016781692,802.621506028498,446.906503835891,109.884364431463
200024_at,4283.80681426089,5814.51405130223,1594.06902550687,248.648297500654
200025_s_at,7676.38310154066,2342.35522265995,2323.26370201229,625.714833460687
200026_at,8750.97765640083,1320.42191118044,1370.84353910461,534.348445138729
200027_at,1108.06706405892,300.505838642783,323.13617474757,144.289240376096
200028_s_at,1669.25358930587,423.24555248889,530.617157058307,244.892992701799
200029_at,8282.36546726386,4655.19064757223,1750.64071295125,480.359084747945
200030_s_at,4353.63346913176,1379.0128152167,810.884824344229,440.030982388692
200031_s_at,6346.72936305021,8161.40444646666,4895.17760167506,1837.44596581773
200032_s_at,8021.08621116178,1709.05935792111,2070.36189398528,833.159406251945
200033_at,1578.68441009474,481.351152949063,473.297421468094,112.319316573755
200034_s_at,4993.88495396117,710.773763566485,1221.68987008324,298.236679439203
200035_at,887.768245930637,341.711558240365,283.915228957349,82.8229649824524
200036_s_at,4639.45429471583,1736.23163241797,760.743710410371,141.398806998051
200037_s_at,1287.97273186896,28.7919353596125,246.388769021528,42.2787208186476
200038_s_at,7539.03246496854,1504.96430031159,1640.4503494978,345.357170582356
200039_s_at,2575.41425632048,306.220443071446,255.358121509702,129.59521801581
200040_at,1358.0767841946,377.132998818835,483.099719716803,187.093812711448
200041_s_at,1816.78496437438,242.27228175743,633.394864594513,110.36302547009
200042_at,944.977477909045,381.746046414856,272.880264183506,155.520140880775
200043_at,1997.03731736812,461.339090184804,614.527723408028,167.227894307199
