Species,Phylum/division,Ecology,n STs,n loci,r/m,95% CI Low,95% CI High,Reference,Genome Size (Mbp)
Flavobacterium psychrophilum,Bacteroidetes,Obligate pathogen,33,7,63.6,32.8,82.8,Nicolas et al. (2008),"2,861,988"
Pelagibacter ubique (SAR 11),-proteobacteria,Free-living: marine,9,8,63.1,47.6,81.8,Vergin et al. (2007),"1,308,759"
Vibrio parahaemolyticus,-proteobacteria,Free-living: marine (OP),20,7,39.8,27.4,48.2,Gonzalez-Escalona et al. (2008),"5,165,770"
Salmonella enterica,-proteobacteria,Commensal (OP),50,7,30.2,21,36.5,web.mpiib-berlin.mpg.de/mlst,"4,685,848"
Vibrio vulnificus,-proteobacteria,"Free-living, marine (OP)",41,5,26.7,19.4,33.3,Bisharat et al. (2007),"5,126,696"
Streptococcus pneumoniae,Firmicutes,Commensal (OP),52,6,23.1,16.7,29,Hanage et al. (2005),"2,088,534"
Microcystis aeruginosa,Cyanobacteria,"Free-living, aquatic",79,7,18.3,13.7,21.2,Tanabe et al. (2007),"5,172,804"
Streptococcus pyogenes,Firmicutes,Commensal (OP),50,7,17.2,6.8,24.4,Enright et al. (2001),"1,852,442"
Helicobacter pylori,-proteobacteria,Commensal (OP),117,8,13.6,12.2,15.5,pubmlst.org,"1,667,867"
Moraxella catarrhalis,-proteobacteria,Commensal (OP),50,8,10.1,4.5,18.6,web.mpiib-berlin.mpg.de/mlst,"1,863,286"
Neisseria meningitidis,-proteobacteria,Commensal (OP),83,7,7.1,5.1,9.5,Jolley et al. (2005),"2,272,351"
Plesiomonas shigelloides,-proteobacteria,"Free-living, aquatic",58,5,7.1,3.8,13,Salerno et al. (2007),"3,908,112"
Neisseria lactamica,-proteobacteria,Commensal,180,7,6.2,4.9,7.4,pubmlst.net,"2,181,733"
Myxococcus xanthus,-proteobacteria,"Free-living, terrestrial",57,5,5.5,1.9,11.3,Vos and Velicer (2008),"9,139,763"
Haemophilus influenzae,-proteobacteria,Commensal (OP),50,7,3.7,2.6,5.4,Meats et al. (2003),"1,830,137"
Wolbachia pipientis b complex,-proteobacteria,Endosymbiont,16,5,3.5,1.8,6.3,Baldo et al. (2006),"1,267,782"
Campylobacter insulaenigrae,-proteobacteria,Commensal (OP),59,7,3.2,1.9,5,Stoddard et al. (2007),"1,465,081"
Mycoplasma hyopneumoniae,Firmicutes,Commensal (OP),33,7,3,1.1,5.8,Mayor et al. (2007),"892,758"
Haemophilus parasuis,-proteobacteria,Commensal (OP),79,7,2.7,2.1,3.6,Olvera et al. (2006),"2,269,156"
Campylobacter jejuni,-proteobacteria,Commensal (OP),110,7,2.2,1.7,2.8,pubmlst.org,"1,641,481"
Halorubrum sp.,Halobacteria (Archaea),Halophile,28,4,2.1,1.2,3.3,Papke et al. (2004),"3,168,011"
Pseudomonas viridiflava,-proteobacteria,"Free-living, plant pathogen",92,3,2,1.2,2.9,Goss et al. (2005),"5,910,810"
Bacillus weihenstephanensis,Firmicutes,"Free-living, terrestrial",36,6,2,1.3,2.8,Sorokin et al. (2006),"5,262,775"
Pseudomonas syringae,-proteobacteria,"Free-living, plant pathogen",95,4,1.5,1.1,2,Sarkar and Guttman (2004),"6,093,698"
Sulfolobus islandicus,Thermoprotei (Archaea),Thermoacidophile,17,5,1.2,0.1,4.5,Whitaker et al. (2005),"2,465,177"
Ralstonia solanacearum,-proteobacteria,Plant pathogen,58,7,1.1,0.7,1.6,Castillo and Greenberg (2007),"5,810,922"
Enterococcus faecium,Firmicutes,Commensal (OP),15,7,1.1,0.3,2.5,Homan et al. (2002),"2,698,137"
Mastigocladus laminosus,Cyanobacteria,Thermophile,34,4,0.9,0.5,1.5,Miller et al. (2007),"7,198,536"
Legionella pneumophila,-proteobacteria,Protozoa pathogen,30,2,0.9,0.2,1.9,Coscolla and Gonzalez-Candelas (2007),"3,397,754"
Microcoleus chthonoplastes,Cyanobacteria,"Free-living, marine",22,2,0.8,0.2,1.9,Lodders et al. (2005),"8,651,623"
Bacillus thuringiensis,Firmicutes,Insect pathogen,22,6,0.8,0.4,1.3,Sorokin et al. (2006),"5,486,830"
Bacillus cereus,Firmicutes,"Free-living, terrestrial (OP)",13,6,0.7,0.2,1.6,Sorokin et al. (2006),"5,411,809"
Oenococcus oeni,Firmicutes,"Free-living, terrestrial",17,5,0.7,0.2,1.7,de Las Rivas et al. (2004),"1,786,146"
Escherichia coli ET-1 group,-proteobacteria,Commensal (free-living?),44,7,0.7,0.03,2,Walk et al. (2007),"4,639,221"
Listeria monocytogenes,Firmicutes,"Free-living, terrestrial (OP)",34,7,0.7,0.4,1.1,Salcedo et al. (2003),"2,931,460"
Enterococcus faecalis,Firmicutes,Commensal (OP),37,7,0.6,0,3.2,Ruiz-Garbajosa et al. (2006),"2,698,137"
Porphyromonas gingivalis,Bacteroidetes,Obligate pathogen,99,7,0.4,0,3.4,Enersen et al. (2006),"2,343,479"
Yersinia pseudotuberculosis,-proteobacteria,Obligate pathogen,43,7,0.3,0,1.1,web.mpiib-berlin.mpg.de/mlst,"4,723,306"
Chlamydia trachomatis,Chlamydiae,Obligate pathogen,14,7,0.3,0,1.8,Pannekoek et al. (2008),"1,038,842"
Klebsiella pneumoniae,-proteobacteria,"Free-living, terrestrial (OP)",45,7,0.3,0,2.1,Diancourt et al. (2005),"5,332,752"
Bordetella pertussis,-proteobacteria,Obligate pathogen,32,7,0.2,0,0.7,Diavatopoulos et al. (2005),"4,086,189"
Brachyspira sp.,Spirochaetes,Commensal (OP),36,7,0.2,0.1,0.4,Rasback et al. (2007),"3,308,048"
Clostridium difficile,Firmicutes,Commensal (OP),34,6,0.2,0,0.5,Lemee et al. (2004),"4,290,252"
Bartonella henselae,-proteobacteria,Obligate pathogen,14,7,0.1,0,0.7,Arvand et al. (2007),"1,931,047"
Lactobacillus casei,Firmicutes,Commensal,32,7,0.1,0,0.5,Diancourt et al. (2007),"3,079,196"
Staphylococcus aureus,Firmicutes,Commensal (OP),53,7,0.1,0,0.6,Enright et al. (2000),"2,902,463"
Rhizobium gallicum,-proteobacteria,"Free-living, terrestrial",33,3,0.1,0,0.3,Silva et al. (2005),"7,311,190"
Leptospira interrogans,Spirochaetes,Commensal (OP),61,7,0.02,0,0.1,Thaipadungpanit et al. (2007),"4,627,366"
