strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,0,A,54,0,7,3
Spo_0A,0,B,39,0,7,3
Spo_0A,0,C,35,0,7,3
Spo_0A,0,D,37,0,7,3
Spo_0A,24,A,62,0,6,3
Spo_0A,24,B,56,0,6,3
Spo_0A,24,C,58,0,6,3
Spo_0A,24,D,64,0,6,3
Spo_0A,48,A,182,0,5,3
Spo_0A,48,B,195,0,5,3
Spo_0A,48,C,207,0,5,3
Spo_0A,48,D,224,0,5,3
Spo_0A,72,A,83,0,5,3
Spo_0A,72,B,137,0,5,3
Spo_0A,72,C,91,0,5,3
Spo_0A,72,D,122,0,5,3
Spo_0A,96,A,129,0,5,3
Spo_0A,96,B,96,0,5,3
Spo_0A,96,C,125,0,5,3
Spo_0A,96,D,131,0,5,3
Spo_0A,120,A,167,0,5,3
Spo_0A,120,B,123,0,5,3
Spo_0A,120,C,147,0,5,3
Spo_0A,120,D,155,0,5,3
Spo_0A,144,A,168,0,5,3
Spo_0A,144,B,144,0,5,3
Spo_0A,144,C,122,0,5,3
Spo_0A,144,D,154,0,5,3
Spo_0A,168,A,156,0,5,3
Spo_0A,168,B,124,0,5,3
Spo_0A,168,C,133,0,5,3
Spo_0A,168,D,119,0,5,3
Spo_0A,192,A,155,0,5,3
Spo_0A,192,B,119,0,5,3
Spo_0A,192,C,107,0,5,3
Spo_0A,192,D,127,0,5,3
Spo_0A,216,A,137,0,5,3
Spo_0A,216,B,123,0,5,3
Spo_0A,216,C,113,0,5,3
Spo_0A,216,D,169,0,5,3
Spo_0A,264,A,106,0,5,3
Spo_0A,264,B,71,0,5,3
Spo_0A,264,C,109,0,5,3
Spo_0A,264,D,147,0,5,3
Spo_0A,312,A,138,0,5,3
Spo_0A,312,B,153,0,5,3
Spo_0A,312,C,122,0,5,3
Spo_0A,312,D,153,0,5,3
Spo_0A,360,A,101,0,5,3
Spo_0A,360,B,105,0,5,3
Spo_0A,360,C,142,0,5,3
Spo_0A,360,D,125,0,5,3
Spo_0A,408,A,117,0,5,3
Spo_0A,408,B,140,0,5,3
Spo_0A,408,C,96,0,5,3
Spo_0A,408,D,51,0,5,3
Spo_0A,456,A,73,0,5,3
Spo_0A,456,B,65,0,5,3
