Strain Replicate iRep R2 Coverage PercentPass
ATCC13985 A 1.51231300434 1.77146996408 0.981809459652 36.9069391597
ATCC13985 B 1.68222678398 1.8926244503 0.9801040982 58.2397585337
ATCC13985 C 1.67531311182 2.13913852139 0.982103224376 35.6181999488
ATCC13985 D 2.56110002269 2.83648826432 0.970777608014 43.1111648777
ATCC43928 A 7.41870884641 8.22472363943 0.947529314553 12.972011946
ATCC43928 B 1.674969946 1.85032660658 0.982398824204 36.9373743778
ATCC43928 C1 1.24337990405 1.38627840283 0.984620860773 47.9631656157
ATCC43928 C2 7.33079284729 8.12324049991 0.945434668047 17.0322796066
ATCC43928 D 7.18361351738 7.91015855641 0.945077025917 12.8345912505
KBS0702 A 1.21672981547 1.27706969667 0.987381773455 63.221452098
KBS0702 B 1.23371144514 1.28595373599 0.987980123795 60.178911228
KBS0702 C 1.19391288428 1.19694492256 0.989873617034 47.7161353498
KBS0702 D 1.19163597457 1.21104215903 0.986984332762 44.2247722603
KBS0702 E 1.20290503945 1.21564029504 0.982234980398 53.7642337811
KBS0702 F 1.19903215078 1.21446238014 0.989283693332 48.926974329
KBS0703 A 1.27483771896 0.992301381036 120.024658839 99.98
KBS0703 B 1.24935762671 0.988265089659 79.834087361 99.98
KBS0703 C 1.23068898945 0.986682632319 88.6371498372 99.98
KBS0703 D 1.24130340393 0.987044627759 86.7163572678 99.98
KBS0705 A   0.0246620162302 0.0
KBS0705 B 14.5784404626 0.905596774707 0.0491835432385 0.9
KBS0705 C   0.0170169850557 0.0
KBS0705 D 10.1891620005 0.899378751647 0.0265536032521 3.25
KBS0706 A 15.8337285276 0.970966292083 0.0769241361023 39.09
KBS0706 B 15.9320545898 0.971227368049 0.115068177058 39.23
KBS0706 C 16.5243255694 0.97281048178 0.135932486756 38.89
KBS0706 D 15.5303481991 0.971962240806 0.135893066499 39.16
KBS0707 A 1.49593183128 1.35453173128 0.96609192161 41.9490696362
KBS0707 B 1.37010291464 1.28643871431 0.968188389729 60.1478335561
