Lake,Year,M.prev,D.size,C.freq,Refuge,Chaob2,P.freq,O.freq,Simpsons
Airline,2009,0.001802471,1.258267104,0.037379366,2.652727273,6.54814953,0.328978072,0.01194635,1.655864255
Beaver Dam,2009,0.021984849,1.226313036,0.00847435,1.05,7.754456057,0.063246141,0.050011679,1.288762637
Benefiel,2009,0.000713709,1.070906893,0.495170179,0.660909091,6.719507782,0,0.035143222,1.882268131
Canvasback,2009,0.058456571,1.180281817,0.000920983,3.223,6.455173073,0.149771273,0.001064931,1.252185934
Dogwood,2009,0.001091266,1.002423765,0.437275692,0.522727273,7.79286956,0.000422831,0.165609261,2.104839244
Downing,2009,0.047436638,1.091750416,0.106829609,0.640909091,4.871052969,0.028127042,0.000719898,1.321417716
Gambill,2009,0.006376902,1.124364097,0.027815058,2.738,5.731830991,0.035002412,0.001877745,1.148543691
Goodman,2009,0.033586786,1.246253055,0.174139982,0.549090909,8.692056576,0.04376424,0.000304042,1.546911073
Goose,2009,0.035073217,1.155277905,0.289860719,3.45,7.455427809,0.223505958,0.225086951,2.707476398
Hale,2009,0.095983041,1.19527461,0.562677406,0.286363636,6.179385789,0.00087593,0.000173152,1.87585246
Island,2009,0.18144714,1.199286783,0.002786235,4.866,8.095910865,0.331398778,0.001644642,1.653416356
Long,2009,0.096157732,1.284691648,0.020207427,1.505555556,7.660990329,0.373564348,0.042464877,1.879765346
Mayfield,2009,0,1.035825455,0.616031236,0.53,6.151986814,0.001352472,0.017853214,1.677898692
Midland,2009,0.279681223,1.244246361,0,0.503,8.114011464,0.020702032,0,1.045339809
Pump,2009,0.004054991,1.172303798,0.002192872,3.142,7.395580893,0.200720491,0.172407998,1.730854174
Scott,2009,0.283536951,1.262670655,0.03132054,0.890909091,9.012201597,0.061313373,0.020986618,1.267332792
T-lake,2009,0.128648636,1.110871541,0.020774183,0.763636364,7.915575407,0.00412587,0.000853602,1.053669345
Todd,2009,0.065837006,1.108956663,0.017660227,1.568181818,5.40168122,0.018433427,0.000413221,1.078199146
Airline,2010,0.028900742,1.278812773,0.012575998,2.507272727,6.479657201,0.43931604,0.010813881,1.86706101
Beaver Dam,2010,0.103269327,1.242668708,0.018605242,3.763181818,7.176134942,0.00853159,0.01694331,1.097648011
Benefiel,2010,0.03295935,1.124076691,0.220380131,0.616818182,7.148320254,0.001642802,0.01250642,1.515926783
Canvasback,2010,0.092656899,1.220630298,0.000582751,0.477272727,5.356560785,0.095347795,0.004975033,1.237330273
Dogwood,2010,0.00084481,1.051408876,0.327758395,1.690909091,8.009802749,0,0.081904908,1.608301979
Downing,2010,0.10222877,1.195542442,0.010843715,0.698888889,6.419147251,0.069293974,0.003366523,1.197793689
Gambill,2010,0.014355387,1.135144858,0.041189687,0.6075,6.493324839,0.002375144,0.003284072,1.100558792
Goodman,2010,0.251752156,1.263845671,0.097221657,1.184090909,9.375020649,0.041327134,0.001970858,1.345930386
Goose,2010,0.052490709,1.190979637,0.238840056,1.731818182,7.002256445,0.205371417,0.226680782,3.389788073
Island,2010,0.181910794,1.180098415,0.00090009,3.806363636,5.486238608,0.396144805,0.002127222,1.821887568
Long,2010,0.017353183,1.370321999,0.00744911,4.704166667,7.247894833,0.233617447,0.00906349,1.563016001
Midland,2010,0.153493764,1.357268172,0.001176829,1.302272727,8.305040173,0.040227163,0.001618198,1.092983322
Pump,2010,0.002792926,1.220387152,0,0.641666667,6.697280959,0.325209189,0.085705001,1.965890548
Scott,2010,0.067531062,1.283522736,0.051882482,0.402727273,8.197167544,0.004730699,0.015483983,1.159839372
Todd,2010,0.055831807,1.242172772,0.005538757,0.406818182,6.145018145,0.05740961,0.002905183,1.145163049
Airline,2014,0.037623644,1.202008181,0.080083729,4.158333333,7.358560322,0.327326288,0.02341515,1.825124628
Beaver Dam,2014,0.001602403,1.184075122,0.139030649,0.866666667,7.135416771,0.002997602,0.078887851,1.552198131
Benefiel,2014,0.039771304,1.132503607,0.57554321,0.47,6.000436838,0.001376492,0.026967775,1.855174044
Canvasback,2014,0.172236461,1.203731945,0,1.891666667,6.600493595,0.062671021,0.001508296,1.145178262
Corky,2014,0.00041876,1.182791309,0.315994745,1.076666667,3.803212261,0,0.013049083,1.580150338
Dogwood,2014,0.009825383,1.033121006,0.417111782,0.261666667,6.44226959,0,0.284511025,2.121824643
Downing,2014,0.103090176,1.220654949,0.022563758,0.76,4.901824549,0.007811967,0.001572358,1.068527586
Frank,2014,0,1.113714433,0.316861738,1.723333333,10.28274544,0,0,1.511684724
Gambill,2014,0.034865263,1.153836173,0.02529563,0.578333333,6.347435488,0.000252525,0,1.052951728
Goodman,2014,0.24629556,1.083248454,0.005429926,0.281666667,9.410483835,0.008132328,0,1.027918244
Goose,2014,0.000541126,1.156978313,0.295231789,1.2175,7.769723451,0.030829974,0.274978571,2.771939116
Hackberry,2014,0.001791555,1.243921985,0.043556554,0.22,8.209931508,0,0.000923361,1.096593771
Hale,2014,0.081909369,1.207864387,0.193702463,0.405,8.185238895,0.004409761,0.000992435,1.476135831
Island,2014,0.211218818,1.263263783,0.003123876,2.465,8.408382447,0.358696392,0.002415459,1.676824864
Long,2014,0,1.398005867,0.16591382,1.063333333,8.418332778,0.03431855,0.150802804,1.836099271
Lonnie,2014,0.131024957,1.205547528,0.205129548,0.043333333,7.329572785,0.000690131,0,1.388479019
Mayfield,2014,0,1.0390279,0.115501456,0.67,4.591669621,0.000836129,0.168546381,1.874794097
Midland,2014,0.165767005,1.348451949,0.0025,0.548333333,9.293801515,0.061379035,0,1.147734154
Narrow,2014,0,1.071765067,0.230673689,0.045,8.418332778,0,0.102980069,1.485212517
Pump,2014,0.202284122,1.217803996,0.001766784,3.818333333,7.590427615,0.161087784,0.002219523,1.390919555
Scott,2014,0.048797578,1.016103144,0.091003282,0.841666667,7.746733933,0.005505558,0.024920734,1.302331905
Shake,2014,0.002511197,0.987973727,0.622673418,0.063333333,5.659510251,0,0.002358491,1.262581085
Shop,2014,0.004584858,1.226817974,0.026874764,0.603333333,8.539410709,0.018392298,0.001153635,1.099361246
Sycamore,2014,0.002791581,1.039744322,0.390356035,0.718333333,7.008665065,0.00202189,0.077145116,2.032357115
T-lake,2014,0.098221535,1.051066052,0.070385055,0.156666667,8.71537683,0,0,1.15542471
Todd,2014,0,1.1025779,0.179203578,1.085,4.901824549,0.013352727,0,1.469025157
Trout,2014,0.062998405,1.186598988,0.791586323,0.038333333,7.45126972,0,0,1.142845234
Willow,2014,0.02025049,1.057878756,0.06580052,0.211666667,6.847734698,0,0,1.144281856
