strain	totalgene
Staphylococcus_aureus_04_02981_uid34809	2650
Staphylococcus_aureus_08BA02176_uid174226	2703
Staphylococcus_aureus_11819_97_uid78269	2633
Staphylococcus_aureus_55_2053_uid34891	2532
Staphylococcus_aureus_6850_uid216988	2429
Staphylococcus_aureus_aureus_MRSA252_uid265	2656
Staphylococcus_aureus_aureus_MSSA476_uid266	2579
Staphylococcus_aureus_Bmb9393_uid196937	2650
Staphylococcus_aureus_CC45_uid197422	2696
Staphylococcus_aureus_CN1_uid162343	2719
Staphylococcus_aureus_COL_uid238	2673
Staphylococcus_aureus_ECT_R_2_uid52833	2489
Staphylococcus_aureus_ED133_uid41277	2653
Staphylococcus_aureus_ED98_uid39547	2661
Staphylococcus_aureus_JH1_uid15758	2747
Staphylococcus_aureus_JH9_uid15757	2697
Staphylococcus_aureus_JKD6008_uid29567	2680
Staphylococcus_aureus_JKD6159_uid50759	2555
Staphylococcus_aureus_LGA251_uid62883	2431
Staphylococcus_aureus_M013_uid78007	2591
Staphylococcus_aureus_M1_uid194419	2697
Staphylococcus_aureus_MSHR1132_uid62885	2510
Staphylococcus_aureus_Mu3_uid18509	2699
Staphylococcus_aureus_Mu50_uid263	2699
Staphylococcus_aureus_MW2_uid306	2632
Staphylococcus_aureus_N315_uid264	2593
Staphylococcus_aureus_NCTC_8325_uid237	2892
Staphylococcus_aureus_Newman_uid18801	2624
Staphylococcus_aureus_RF122_uid63	2515
Staphylococcus_aureus_SA40_uid167373	2465
Staphylococcus_aureus_SA957_uid167119	2549
Staphylococcus_aureus_ST228_10388_uid71343	1964
Staphylococcus_aureus_ST228_10497_uid71345	1965
Staphylococcus_aureus_ST228_15532_uid71347	1964
Staphylococcus_aureus_ST228_16035_uid71349	1965
Staphylococcus_aureus_ST228_16125_uid71351	1963
Staphylococcus_aureus_ST228_18412_uid71355	1968
Staphylococcus_aureus_ST398_uid29427	2699
Staphylococcus_aureus_ST398_uid66999	2623
Staphylococcus_aureus_T0131_uid65323	2711
Staphylococcus_aureus_TCH60_uid31539	2673
Staphylococcus_aureus_TW20_uid36647	2779
Staphylococcus_aureus_uid71279	2547
Staphylococcus_aureus_uid71353	1964
Staphylococcus_aureus_uid71357	1966
Staphylococcus_aureus_USA300_FPR3757_uid16313	2560
Staphylococcus_aureus_USA300_TCH1516_uid19489	2657
Staphylococcus_aureus_VC40_uid66591	2468
Staphylococcus_aureus_Z172_uid222409	2834
